election_value,title,year,election_type,district,party,office
77275,1988 State Senator General Election Franklin District,1988,General,Franklin,NA,State Senator
77276,1988 State Senator General Election Grande-Isle District,1988,General,Grande-Isle,NA,State Senator
77277,1988 State Senator General Election Lamoille District,1988,General,Lamoille,NA,State Senator
77278,1988 State Senator General Election Orange District,1988,General,Orange,NA,State Senator
77279,1988 State Senator General Election Rutland District,1988,General,Rutland,NA,State Senator
77280,1988 State Senator General Election Washington District,1988,General,Washington,NA,State Senator
77281,1988 State Senator General Election Windham District,1988,General,Windham,NA,State Senator
77282,1988 State Senator General Election Windsor District,1988,General,Windsor,NA,State Senator
77283,1988 State Representative General Election Addison 1 District,1988,General,Addison 1,NA,State Representative
77284,1988 State Representative General Election Addison 2 District,1988,General,Addison 2,NA,State Representative
77285,1988 State Representative General Election Addison 3 District,1988,General,Addison 3,NA,State Representative
77286,1988 State Representative General Election Addison 4-1 District,1988,General,Addison 4-1,NA,State Representative
77287,1988 State Representative General Election Addison 4-2 District,1988,General,Addison 4-2,NA,State Representative
77288,1988 State Representative General Election Addison-Rutland 1 District,1988,General,Addison-Rutland 1,NA,State Representative
77289,1988 State Representative General Election Addison-Rutland 2 District,1988,General,Addison-Rutland 2,NA,State Representative
77290,1988 State Representative General Election Addison-Washington 1 District,1988,General,Addison-Washington 1,NA,State Representative
77291,1988 State Representative General Election Bennington 1 District,1988,General,Bennington 1,NA,State Representative
77292,1988 State Representative General Election Bennington 2-1 District,1988,General,Bennington 2-1,NA,State Representative
77293,1988 State Representative General Election Bennington 2-2 District,1988,General,Bennington 2-2,NA,State Representative
77294,1988 State Representative General Election Bennington 2-3 District,1988,General,Bennington 2-3,NA,State Representative
77295,1988 State Representative General Election Bennington 2-4 District,1988,General,Bennington 2-4,NA,State Representative
77296,1988 State Representative General Election Bennington 3 District,1988,General,Bennington 3,NA,State Representative
77297,1988 State Representative General Election Bennington-Rutland 1 District,1988,General,Bennington-Rutland 1,NA,State Representative
77298,1988 State Representative General Election Bennington-Rutland 2 District,1988,General,Bennington-Rutland 2,NA,State Representative
77299,1988 State Representative General Election Bennington-Windham 1 District,1988,General,Bennington-Windham 1,NA,State Representative
77300,1988 State Representative General Election Caledonia 1 District,1988,General,Caledonia 1,NA,State Representative
77301,1988 State Representative General Election Caledonia 2 District,1988,General,Caledonia 2,NA,State Representative
77302,1988 State Representative General Election Caledonia 3-1 District,1988,General,Caledonia 3-1,NA,State Representative
77303,1988 State Representative General Election Caledonia 3-2 District,1988,General,Caledonia 3-2,NA,State Representative
77304,1988 State Representative General Election Caledonia-Essex 1 District,1988,General,Caledonia-Essex 1,NA,State Representative
77305,1988 State Representative General Election Caledonia-Essex 2 District,1988,General,Caledonia-Essex 2,NA,State Representative
77306,1988 State Representative General Election Caledonia-Orange 1 District,1988,General,Caledonia-Orange 1,NA,State Representative
77307,1988 State Representative General Election Chittenden 1 District,1988,General,Chittenden 1,NA,State Representative
77308,1988 State Representative General Election Chittenden 2-1 District,1988,General,Chittenden 2-1,NA,State Representative
77309,1988 State Representative General Election Chittenden 2-2 District,1988,General,Chittenden 2-2,NA,State Representative
77310,1988 State Representative General Election Chittenden 3 District,1988,General,Chittenden 3,NA,State Representative
77311,1988 State Representative General Election Chittenden 4 District,1988,General,Chittenden 4,NA,State Representative
77312,1988 State Representative General Election Chittenden 5-1 District,1988,General,Chittenden 5-1,NA,State Representative
77313,1988 State Representative General Election Chittenden 5-2 District,1988,General,Chittenden 5-2,NA,State Representative
77314,1988 State Representative General Election Chittenden 6-1 District,1988,General,Chittenden 6-1,NA,State Representative
77315,1988 State Representative General Election Chittenden 6-2 District,1988,General,Chittenden 6-2,NA,State Representative
77316,1988 State Representative General Election Chittenden 6-3 District,1988,General,Chittenden 6-3,NA,State Representative
77317,1988 State Representative General Election Chittenden 7-1 District,1988,General,Chittenden 7-1,NA,State Representative
77318,1988 State Representative General Election Chittenden 7-2 District,1988,General,Chittenden 7-2,NA,State Representative
77319,1988 State Representative General Election Chittenden 7-3 District,1988,General,Chittenden 7-3,NA,State Representative
77320,1988 State Representative General Election Chittenden 7-4 District,1988,General,Chittenden 7-4,NA,State Representative
77321,1988 State Representative General Election Chittenden 7-5 District,1988,General,Chittenden 7-5,NA,State Representative
77322,1988 State Representative General Election Chittenden 7-6 District,1988,General,Chittenden 7-6,NA,State Representative
77323,1988 State Representative General Election Chittenden 7-7 District,1988,General,Chittenden 7-7,NA,State Representative
77324,1988 State Representative General Election Chittenden 8 District,1988,General,Chittenden 8,NA,State Representative
77325,1988 State Representative General Election Chittenden 9-1 District,1988,General,Chittenden 9-1,NA,State Representative
77326,1988 State Representative General Election Chittenden 9-2 District,1988,General,Chittenden 9-2,NA,State Representative
77327,1988 State Representative General Election Chittenden-Franklin 1 District,1988,General,Chittenden-Franklin 1,NA,State Representative
77328,1988 State Representative General Election Chittenden-Washington 1 District,1988,General,Chittenden-Washington 1,NA,State Representative
77329,1988 State Representative General Election Essex 1 District,1988,General,Essex 1,NA,State Representative
77330,1988 State Representative General Election Franklin 1 District,1988,General,Franklin 1,NA,State Representative
77331,1988 State Representative General Election Franklin 2 District,1988,General,Franklin 2,NA,State Representative
77332,1988 State Representative General Election Franklin 3 District,1988,General,Franklin 3,NA,State Representative
77333,1988 State Representative General Election Franklin 4 District,1988,General,Franklin 4,NA,State Representative
77334,1988 State Representative General Election Franklin 5 District,1988,General,Franklin 5,NA,State Representative
77335,1988 State Representative General Election Franklin 6-1 District,1988,General,Franklin 6-1,NA,State Representative
77336,1988 State Representative General Election Franklin 6-2 District,1988,General,Franklin 6-2,NA,State Representative
